stem,folders
_D5C0024,2020;2025.1
_D5C0049,2021.1;2025.2;2025.3
_D5C0051,2025.2;2025.3
_D5C0055,2025.2;2025.3
_D5C0065,2025.2;2025.3
_D5C0069,2025.2;2025.3
_D5C0071,2025.2;2025.3
_D5C0072,2025.2;2025.3
_D5C0078,2025.2;2025.3
_D5C0088,2025.2;2025.4
_D5C0096,2025.2;2025.3
_D5C0097,2025.2;2025.3
_D5C0131,2025.2;2025.4
_D5C0134,2021.1;2025.4
_D5C0152,2025.2;2025.3
_D5C0183,2025.2;2025.3
_D5C0195,2025.2;2025.3
_D5C0215,2025.2;2025.3
_D5C0230,2018.3;2021.1
_D5C0231,2025.2;2025.3
_D5C0232,2018.3;2025.2;2025.3
_D5C0233,2025.2;2025.3
_D5C0235,2021.1;2025.4
_D5C0254,2025.2;2025.3
_D5C0279,2018.3;2025.4
_D5C0302,2025.2;2025.3
_D5C0309,2025.2;2025.3
_D5C0323,2025.2;2025.3
_D5C0324,2021.6;2025.2;2025.3
_D5C0329,2025.2;2025.3
_D5C0330,2025.2;2025.3
_D5C0332,2025.2;2025.3
_D5C0336,2025.2;2025.3
_D5C0341,2021.1;2025.4
_D5C0347,2021.1;2025.2;2025.3
_D5C0366,2025.2;2025.3
_D5C0372,2021.6;2025.4
_D5C0374,2025.2;2025.3
_D5C0399,2021.1;2021.6
_D5C0401,2025.2;2025.3
_D5C0420,2025.2;2025.3;2025.4
_D5C0424,2021.1;2021.6;2025.2;2025.3
_D5C0437,2025.2;2025.3
_D5C0438,2025.2;2025.3
_D5C0439,2025.2;2025.3
_D5C0441,2025.2;2025.3
_D5C0442,2025.2;2025.3
_D5C0443,2025.2;2025.3
_D5C0465,2021.6;2025.4
_D5C0590,2021.6;2025.4
_D5C0593,2021.6;2025.4
_D5C0595,2025.2;2025.3
_D5C0610,2021.1;2025.2
_D5C0614,2021.6;2025.3
_D5C0625,2021.1;2025.2
_D5C0627,2021.6;2025.3
_D5C0629,2021.6;2025.3
_D5C0636,2025.2;2025.3
_D5C0644,2025.3;2025.4
_D5C0660,2021.6;2025.3
_D5C0668,2025.2;2025.4
_D5C0674,2025.2;2025.4
_D5C0685,2025.2;2025.3
_D5C0698,2021.6;2025.3
_D5C0784,2021.1;2025.2;2025.4
_D5C0789,2018.3;2021.1
_D5C0826,2019.1;2025.2;2025.4
_D5C0912,2019.1;2025.2
_D5C0984,2019.1;2025.2
_D5C0991,2018.3;2019.1
_D5C1078,2018.3;2025.3
_D5C1101,2025.3;2025.4
_D5C1105,2021.1;2025.2
_D5C1109,2019.1;2021.1
_D5C1133,2019.1;2021.1
_D5C1136,2025.2;2025.4
_D5C1143,2019.1;2025.4
_D5C1160,2021.1;2025.3
_D5C1161,2021.1;2025.3
_D5C1164,2021.1;2025.3
_D5C1166,2019.1;2025.4
_D5C1167,2019.1;2025.4
_D5C1169,2018.3;2025.3
_D5C1170,2021.1;2025.3;2025.4
_D5C1174,2018.3;2025.2;2025.3
_D5C1227,2019.1;2021.1
_D5C1228,2021.1;2021.6
_D5C1235,2019.1;2021.1
_D5C1269,2021.1;2025.2
_D5C1270,2018.3;2025.2
_D5C1441,2021.6;2025.3
_D5C1474,2018.3;2025.2
_D5C1553,2019.1;2021.3
_D5C1572,2018.3;2025.2
_D5C1594,2018.3;2021.3
_D5C1621,2019.1;2025.4
_D5C1629,2018.3;2025.3
_D5C1670,2019.1;2025.4
_D5C1687,2018.3;2025.4
_D5C1692,2019.1;2025.4
_D5C1694,2018.3;2025.4
_D5C1700,2018.3;2025.4
_D5C1704,2019.1;2025.2
_D5C1725,2019.1;2025.3
_D5C1733,2018.3;2021.3
_D5C1740,2021.3;2025.2
_D5C1757,2018.3;2019.1
_D5C1762,2018.3;2021.3
_D5C1771,2018.3;2021.3
_D5C1797,2018.3;2025.4
_D5C1802,2018.3;2025.3
_D5C1827,2021.3;2025.3
_D5C1837,2021.3;2025.2
_D5C1878,2018.3;2019.1
_D5C1892,2019.1;2025.3
_D5C1898,2021.3;2025.2
_D5C1901,2021.3;2025.2
_D5C1913,2019.1;2021.3
_D5C1916,2021.3;2025.2
_D5C1921,2018.3;2021.3
_D5C1923,2019.1;2021.3
